,title,company,link,job_id,location,date,has_job_description
87,Medior BI Ontwikkelaar/Data Engineer Zorgdata | Rotterdam,CareerValue,https://nl.linkedin.com/jobs/view/medior-bi-ontwikkelaar-data-engineer-zorgdata-rotterdam-3889718057,3889718057,Rotterdam,2024-04-09,False
88,Senior Oracle PL/SQL Developer inhouse functie | Zoetermeer,CareerValue,https://nl.linkedin.com/jobs/view/senior-oracle-pl-sql-developer-inhouse-functie-zoetermeer-3889717121,3889717121,Zoetermeer,2024-04-09,False
89,RPA Developer bij ilionx Hyperautomation,&Work,https://nl.linkedin.com/jobs/view/rpa-developer-bij-ilionx-hyperautomation-at-work-3889712942,3889712942,’s-Hertogenbosch,2024-04-09,False
90,Embedded engineers omgeving Arnhem,Gemini Embedded Technology,https://nl.linkedin.com/jobs/view/embedded-engineers-omgeving-arnhem-3890273063,3890273063,Arnhem,2024-04-09,False
91,"Solution Architect Oracle Linux, Driebergen-Rijsenburg",Optimadata,https://nl.linkedin.com/jobs/view/solution-architect-oracle-linux-driebergen-rijsenburg-3890262437,3890262437,Driebergen-Rijsenburg,2024-04-09,False
92,"Project Engineer / Werkvoorbereider, Venray",Arbeidsmakelaar Elbers,https://nl.linkedin.com/jobs/view/project-engineer-werkvoorbereider-venray-3890282425,3890282425,Venray,2024-04-09,False
93,PLC Software Engineer - Schiedam,Kracht Recruitment,https://nl.linkedin.com/jobs/view/plc-software-engineer-schiedam-3890644112,3890644112,South Holland,2024-04-09,False
94,Senior Risk Model Developer,DLL,https://nl.linkedin.com/jobs/view/senior-risk-model-developer-at-dll-3889717276,3889717276,Eindhoven,2024-04-09,False
95,Solution Architect Oracle Linux,Bright Professionals,https://nl.linkedin.com/jobs/view/solution-architect-oracle-linux-at-bright-professionals-3889848452,3889848452,Driebergen,2024-04-09,False
96,Senior Risk Model Developer,DLL,https://nl.linkedin.com/jobs/view/senior-risk-model-developer-at-dll-3889718255,3889718255,Amsterdam,2024-04-09,False
97,"BBL Leerling Technicus Engineering Elektrotechniek niveau 4, Westdorpe",Werk en Vakmanschap,https://nl.linkedin.com/jobs/view/bbl-leerling-technicus-engineering-elektrotechniek-niveau-4-westdorpe-at-werk-en-vakmanschap-3890299136,3890299136,Westdorpe,2024-04-09,False
